X,Y,Count,Pct
0.21,0.85,1,0.0003792188092529389
0.21,0.9,0,0.0
0.21,0.95,0,0.0
0.21,1.0,0,0.0
0.22,0.0,0,0.0
0.22,0.05,1,0.0003792188092529389
0.22,0.1,0,0.0
0.22,0.15,0,0.0
0.22,0.2,0,0.0
0.22,0.25,0,0.0
0.22,0.3,1,0.0003792188092529389
0.22,0.35,1,0.0003792188092529389
0.22,0.4,0,0.0
0.22,0.45,1,0.0003792188092529389
0.22,0.5,0,0.0
0.22,0.55,0,0.0
0.22,0.6,3,0.0011376564277588168
0.22,0.65,2,0.0007584376185058779
0.22,0.7,1,0.0003792188092529389
0.22,0.75,1,0.0003792188092529389
0.22,0.8,0,0.0
0.22,0.85,0,0.0
0.22,0.9,1,0.0003792188092529389
0.22,0.95,0,0.0
0.22,1.0,1,0.0003792188092529389
0.23,0.0,3,0.0011376564277588168
0.23,0.05,0,0.0
0.23,0.1,0,0.0
0.23,0.15,0,0.0
0.23,0.2,0,0.0
0.23,0.25,0,0.0
0.23,0.3,0,0.0
0.23,0.35,0,0.0
0.23,0.4,0,0.0
0.23,0.45,0,0.0
0.23,0.5,0,0.0
0.23,0.55,0,0.0
0.23,0.6,3,0.0011376564277588168
0.23,0.65,1,0.0003792188092529389
0.23,0.7,0,0.0
0.23,0.75,0,0.0
0.23,0.8,0,0.0
0.23,0.85,0,0.0
0.23,0.9,1,0.0003792188092529389
0.23,0.95,0,0.0
0.23,1.0,0,0.0
0.24,0.0,0,0.0
0.24,0.05,0,0.0
0.24,0.1,0,0.0
0.24,0.15,0,0.0
0.24,0.2,0,0.0
0.24,0.25,0,0.0
0.24,0.3,0,0.0
0.24,0.35,0,0.0
0.24,0.4,1,0.0003792188092529389
0.24,0.45,0,0.0
0.24,0.5,0,0.0
0.24,0.55,0,0.0
0.24,0.6,0,0.0
0.24,0.65,0,0.0
0.24,0.7,0,0.0
0.24,0.75,1,0.0003792188092529389
0.24,0.8,0,0.0
0.24,0.85,0,0.0
0.24,0.9,0,0.0
0.24,0.95,0,0.0
0.24,1.0,0,0.0
0.25,0.0,0,0.0
0.25,0.05,0,0.0
0.25,0.1,0,0.0
0.25,0.15,0,0.0
0.25,0.2,0,0.0
0.25,0.25,0,0.0
0.25,0.3,0,0.0
0.25,0.35,0,0.0
0.25,0.4,0,0.0
0.25,0.45,1,0.0003792188092529389
0.25,0.5,0,0.0
0.25,0.55,0,0.0
0.25,0.6,0,0.0
0.25,0.65,1,0.0003792188092529389
0.25,0.7,0,0.0
0.25,0.75,0,0.0
0.25,0.8,0,0.0
0.25,0.85,0,0.0
0.25,0.9,0,0.0
0.25,0.95,0,0.0
0.25,1.0,0,0.0
0.26,0.0,0,0.0
0.26,0.05,0,0.0
0.26,0.1,0,0.0
0.26,0.15,0,0.0
